Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Mon Dec 01, 8:30am CST",New Castle,43467717,2015,HONDA,CIVIC,LX,"$2,350 USD",Salvage,NO,Front End,Right Side,Collision,"Mon Dec 01, 12:39am CST",NO,Automobiles,,"65,648 mi",,Run & Drive,Intact Airbags,Key Available,Blue,Gray,"1.8L I-4 VVT, 143HP",Gasoline,4 Cyl,19XFB2F50FE270820,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,26,"A  ",17,Insurance,"$11,772 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43595119,2013,HONDA,CIVIC,HF,"$1,100 USD",Salvage,NO,Front End,,Collision,"Mon Dec 01, 12:43am CST",NO,Automobiles,,"140,242 mi",,Run & Drive,Intact Airbags,Key Available,Dark Brown,Black,"1.8L I-4 VVT, 140HP",Gasoline,4 Cyl,2HGFB2F60DH529480,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Canada,NO,A,50,"A  ",11,Insurance,"$8,300 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43613189,2010,HONDA,CIVIC,LX,$900 USD,Salvage,NO,Front End,,Other,"Mon Dec 01, 12:43am CST",NO,Automobiles,,"80,902 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"1.8L I-4 VVT, 140HP",Gasoline,4 Cyl,2HGFA1F57AH571919,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Canada,NO,A,3,"AA ",31,Insurance,"$8,268 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43371323,2008,HONDA,CIVIC,LX,$25 USD,Salvage,NO,Rear,Left Side,Collision,"Mon Dec 01, 12:37am CST",NO,Automobiles,,"173,136 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Black,Gray,"1.8L I-4 VVT, 140HP",Gasoline,4 Cyl,1HGFA16578L025067,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,7,"A  ",12,Insurance,"$2,833 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43512390,2015,HONDA,CR-V,EX-L,"$3,700 USD",Salvage,NO,Right Side,Rear,Collision,"Mon Dec 01, 12:40am CST",NO,SUVs,,"73,074 mi",,Stationary,Deployed Airbags,,Burgundy,Gray,"2.4L I-4 DI, DOHC, VVT, 185HP",Gasoline,4 Cyl,2HKRM4H74FH659344,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Canada,NO,A,22,"AA ",26,Insurance,"$16,374 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43436366,2013,HONDA,CR-V,EX-L,"$3,200 USD",Salvage,NO,Left Front,Left Side,Collision,"Mon Dec 01, 12:38am CST",NO,SUVs,,"111,561 mi",,Run & Drive,Intact Airbags,Key Available,Silver,Gray,"2.4L I-4 DOHC, VVT, 185HP",Gasoline,4 Cyl,2HKRM4H71DH612477,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,Canada,NO,A,28,"AA ",51,Insurance,"$10,462 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43613468,2008,HONDA,GL1800," ","$1,100 USD",Salvage,NO,Front End,Left Front,Collision,"Mon Dec 01, 12:43am CST",NO,Motorcycles,Touring,"102,793 mi",Not Required/Exempt,Stationary,,Key Available,Burgundy,Black,6,Other,6 Cyl,1HFSC47H28A714405,IAA United States,Unknown,State Farm Group Insurance,,Touring,United States,NO,A,47,"DZ ",1,Insurance,"$8,543 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43655123,2018,HYUNDAI,ELANTRA,VALUE EDITION,"$1,950 USD",Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:45am CST",NO,Automobiles,,"128,874 mi",,Run & Drive,Intact Airbags,Key Available,Black,Gray,"2.0L I-4 DOHC, VVT, 147HP",Gasoline,4 Cyl,5NPD84LF4JH274100,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,55,DZ1,1,Insurance,"$8,067 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43517554,2013,HYUNDAI,SONATA,GLS,$525 USD,Salvage,NO,Right Rear,,Collision,"Mon Dec 01, 12:40am CST",NO,Automobiles,,"92,255 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Tan,"2.4L I-4 DI, DOHC, VVT, 190HP",Gasoline,4 Cyl,5NPEB4AC6DH714109,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,21,"A  ",23,Insurance,"$7,680 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43428760,2007,HYUNDAI,SONATA,GLS,$25 USD,Salvage,NO,Rear,Right Side,Collision,"Mon Dec 01, 12:38am CST",NO,Automobiles,,"198,058 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Silver,Gray,"2.4L I-4 DOHC, VVT, 162HP",Gasoline,4 Cyl,5NPET46C47H252188,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,29,"A  ",14,Insurance,"$2,018 USD",East
