Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Tue Dec 09, 8:30am CST",Providence,43417716,2017,ACURA,RDX,TECHNOLOGY   ACURAWATCH PLUS PACKAGES/W/TECHNOLOGY PACKAGE,"$1,250 USD",Salvage,NO,Front & Rear,,Collision,"Tue Dec 09, 1:06am CST",NO,SUVs,,"132,713 mi",,Run & Drive,Intact Airbags,Key Available,Gray,,"3.5L V-6 VVT, 279HP",Gasoline,6 Cyl,5J8TB4H54HL000609,IAA United States,Automatic,AAA Rhode Island,All-Wheel Drive,Utility,United States,NO,A,109,"N  ",5,Insurance,"$12,450 USD",East
"Tue Dec 09, 8:30am CST",Providence,43208889,2012,ACURA,TSX," ",$225 USD,Salvage,NO,Left Side,,Collision,"Tue Dec 09, 1:02am CST",NO,Automobiles,,"331,541 mi",,Run & Drive,Intact Airbags,Key Available,Burgundy,,2.4L I4 FI DOHC 16V NF4,Gasoline,4 Cyl,JH4CU2F43CC020137,IAA United States,Automatic,AAA Rhode Island,Front Wheel Drive,Sedan 4 Door,Japan,NO,A,48,"J  ",31,Insurance,"$5,750 USD",East
"Tue Dec 09, 8:30am CST",Providence,43761929,2015,AUDI,A6,2.0T PREMIUM,$500 USD,Clear,NO,Normal Wear & Tear,,,"Tue Dec 09, 1:22am CST",NO,Automobiles,,"178,526 mi",Not Actual,Run & Drive,Intact Airbags,Key Available,White,,"2.0L I-4 DI, DOHC, VVT, turbo, 220HP",Gasoline,4 Cyl,WAUGFAFC5FN033380,IAA United States,Automatic,,All-Wheel Drive,Sedan,Germany,NO,A,89,"C  ",9,Non-Insurance,"$5,375 USD",East
"Tue Dec 09, 8:30am CST",Providence,43835977,2004,BMW,325CI," ",$50 USD,Clear,NO,Normal Wear & Tear,,,"Tue Dec 09, 1:26am CST",NO,Automobiles,,"184,638 mi",,Stationary,Intact Airbags,Key Available,Blue,,"2.5L I-6 DOHC, VVT, 184HP",Gasoline,6 Cyl,WBABW334X4PG97293,IAA United States,Manual,Charitable Adult Rides & Services,Rear Wheel Drive,Convertible,Germany,NO,A,30,"C  ",13,Non-Insurance,"$1,875 USD",East
"Tue Dec 09, 8:30am CST",Providence,43460388,2019,BMW,540I,XDRIVE,"$4,000 USD",Salvage,NO,Suspension,Right Front,Collision,"Tue Dec 09, 1:07am CST",NO,Automobiles,,"92,716 mi",,Stationary,Deployed Airbags,,Black,Black,"3.0L I-6 DI, DOHC, VVT, turbo, 335HP",Gasoline,6 Cyl,WBAJE7C5XKWW14606,IAA United States,Automatic,MAPFRE USA,All-Wheel Drive,Sedan,Germany,NO,A,74,"C  ",16,Insurance,"$24,025 USD",East
"Tue Dec 09, 8:30am CST",Providence,43608440,2013,BMW,X5," ",$525 USD,Salvage,NO,Fresh Water,Engine Damage,Water,"Tue Dec 09, 1:14am CST",NO,SUVs,,"120,454 mi",,Stationary,Intact Airbags,Key Available,Black,Black,"3.0L I-6 DI, DOHC, VVT, turbo, 300HP",Gasoline,6 Cyl,5UXZV4C55D0B00089,IAA United States,Automatic,,All-Wheel Drive,Sport Utility,United States,NO,A,43,"K  ",16,Insurance,"$7,450 USD",East
"Tue Dec 09, 8:30am CST",Providence,43220532,2014,BUICK,VERANO,LEATHER GROUP,$225 USD,Salvage,NO,Rear,Right Side,Collision,"Tue Dec 09, 1:02am CST",NO,Automobiles,,"122,220 mi",,Run & Drive,Intact Airbags,Key Available,White,,"2.4L I-4 DI, DOHC, VVT, 180HP",Flexible Fuel,4 Cyl,1G4PS5SK0E4132028,IAA United States,Automatic,AAA Rhode Island,Front Wheel Drive,Sedan,United States,NO,A,95,"G  ",7,Insurance,"$9,300 USD",East
"Tue Dec 09, 8:30am CST",Providence,43695161,2013,CADILLAC,SRX,STANDARD,$25 USD,Salvage,NO,Front End,Left Side,Collision,"Tue Dec 09, 1:19am CST",NO,SUVs,,"147,235 mi",,Run & Drive,Intact Airbags,Key Available,Silver,Black,"3.6L V-6 DI, DOHC, VVT, 308HP",Gasoline,6 Cyl,3GYFNAE39DS516872,IAA United States,Automatic,MAPFRE USA,Front Wheel Drive,Sport Utility,Mexico,NO,A,29,"M  ",30,Insurance,"$5,475 USD",East
"Tue Dec 09, 8:30am CST",Providence,43535991,2012,CHEVROLET,CAPTIVA SPORT,LTZ,$75 USD,Salvage,NO,Normal Wear & Tear,,,"Tue Dec 09, 1:10am CST",NO,SUVs,,"113,434 mi",,Run & Drive,Intact Airbags,Key Available,Brown,,"3.0L V-6 DI, DOHC, VVT, 264HP",Flexible Fuel,6 Cyl,3GNFL4E50CS601376,IAA United States,Automatic,,All-Wheel Drive,Sport Utility,Mexico,NO,A,52,"G  ",27,Non-Insurance,"$1,550 USD",East
"Tue Dec 09, 8:30am CST",Providence,43531767,2012,CHEVROLET,COLORADO,1LT,$125 USD,Salvage,NO,Rear,,Other,"Tue Dec 09, 1:10am CST",NO,Automobiles,,"95,637 mi",,Run & Drive,Intact Airbags,Key Available,Silver,,"3.7L I-5 DOHC, VVT, 242HP",Gasoline,5 Cyl,1GCJTCFE9C8116920,IAA United States,Automatic,,Four Wheel Drive,Extended Cab,United States,NO,A,60,"G  ",15,Non-Insurance,"$5,525 USD",East
"Tue Dec 09, 8:30am CST",Providence,43265068,2022,CHEVROLET,EQUINOX,AWD LS,"$1,200 USD",Salvage,NO,Front & Rear,Suspension,Collision,"Tue Dec 09, 1:03am CST",NO,SUVs,,"37,417 mi",,Stationary,Deployed Airbags,Key Available,White,,"1.5L I-4 DI, DOHC, VVT, turbo, 170HP",Gasoline,4 Cyl,3GNAXSEV7NS174008,IAA United States,Automatic,Arbella Insurance Company,All-Wheel Drive,Utility,Mexico,NO,A,58,"B  ",8,Insurance,"$21,500 USD",East
"Tue Dec 09, 8:30am CST",Providence,43806043,2009,CHEVROLET,SILVERADO 1500,WORK TRUCK,$250 USD,Clear,NO,Left & Right Side,,Other,"Tue Dec 09, 1:24am CST",NO,Automobiles,,"128,864 mi",,Run & Drive,Intact Airbags,Key Available,Blue,,4.3L V-6 195HP,Gasoline,6 Cyl,1GCEC19X79Z292242,IAA United States,Automatic,,4X2 Drive,Extended Cab,United States,NO,A,5,"R  ",10,Non-Insurance,"$4,450 USD",East
