Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Country,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Mon Mar 04, 8:30am CST",New Castle,38577785,2004,CHEVROLET,SILVERADO 1500,LS,,SALVAGE-DE,NO,Right Side,UNKNOWN,Collision,"Mon Mar 04, 12:49am CST",NO,Automobiles,,"162,022 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Gray,5.3L V-8 295HP,Gasoline,8 Cyl,1GCEK19T04E149035,United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Extended Cab,United States,NO,A,2,"A  ",58,Insurance,"$8,411 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38092336,2001,CHEVROLET,SILVERADO 2500HD,,,SALVAGE-DE,NO,Front End,UNKNOWN,Collision,"Mon Mar 04, 12:41am CST",NO,Automobiles,,"253,891 mi",,Run & Drive,Intact Airbags,Key Available,White,Beige,6L V-8   300HP,Gasoline,8 Cyl,1GCHK24UX1E299409,United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Pickup,United States,NO,A,17,"A  ",47,Insurance,"$4,217 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38423176,2013,CHEVROLET,SPARK,2LT MANUAL,,SALVAGE-TN,NO,Rear,UNKNOWN,Collision,"Mon Mar 04, 12:45am CST",NO,Automobiles,,"137,473 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"1.2L I-4 DOHC, VVT, 84HP",Gasoline,4 Cyl,KL8CE6S91DC506009,United States,Manual,State Farm Group Insurance,Front Wheel Drive,Hatchback,South Korea,NO,A,27,"F  ",10,Insurance,"$5,472 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38652772,2018,CHEVROLET,TAHOE,COMMERCIAL FLEET,,SALVAGE-DE,NO,Right Side,UNKNOWN,Collision,"Mon Mar 04, 12:52am CST",NO,SUVs,,"112,879 mi",,Run & Drive,Deployed Airbags,Key Available,Blue,,"5.3L V-8 DI, VVT, 355HP",Other,8 Cyl,1GNLCDEC7JR136239,United States,Automatic,,Four Wheel Drive,Sport Utility,United States,NO,A,30,"J  ",44,Non-Insurance,"$25,925 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38652820,2017,CHEVROLET,TAHOE,COMMERCIAL FLEET,,SALVAGE-DE,NO,Front End,UNKNOWN,Collision,"Mon Mar 04, 12:52am CST",NO,SUVs,,1 mi,Not Actual,Stationary,Deployed Airbags,Key Available,Blue,,"5.3L V-8 DI, VVT, 355HP",Other,8 Cyl,1GNLCDEC4HR226541,United States,Automatic,,,Sport Utility,United States,NO,A,31,"3Y ",4,Non-Insurance,"$21,800 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38449869,2020,FORD,ECOSPORT,SE,"$1,025 USD",SALVAGE-DE,NO,Rear,UNKNOWN,Collision,"Mon Mar 04, 12:46am CST",NO,SUVs,,"43,058 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"2.0L I-4 DI, DOHC, VVT, 166HP",Gasoline,4 Cyl,MAJ6S3GL2LC356531,United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Sport Utility,India,NO,A,20,"A  ",53,Insurance,"$18,717 USD",East
"Mon Mar 04, 8:30am CST",New Castle,37718273,2022,FORD,ESCAPE,SE,"$1,375 USD",SALVAGE-DE,NO,Front End,UNKNOWN,Collision,"Mon Mar 04, 12:40am CST",NO,SUVs,,"7,009 mi",Not Actual,Run & Drive,Intact Airbags,Key Available,Red,,"1.5L I-3 DI, DOHC, VVT, turbo,   181HP",Gasoline,3 Cyl,1FMCU0G62NUB31194,United States,Automatic,,Front Wheel Drive,Wagon 4 Dr.,United States,NO,A,32,"A  ",10,Non-Insurance,"$28,162 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38705511,2013,FORD,F-150,XL,,SALVAGE-DE,NO,Front End,UNKNOWN,Other,"Mon Mar 04, 12:54am CST",NO,Automobiles,,"144,915 mi",,Run & Drive,Intact Airbags,Key Available,White,,"5.0L V-8 DOHC, VVT, 360HP",Flexible Fuel,8 Cyl,1FTFX1EF1DKG34629,United States,Automatic,,Four Wheel Drive,Extended Cab,United States,NO,A,34,"M  ",1,Non-Insurance,"$12,000 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38395072,2015,GMC,ACADIA,SLE-2,,SALVAGE-DE,NO,Front End,ALL OVER,Collision,"Mon Mar 04, 12:45am CST",NO,SUVs,,"106,909 mi",Not Actual,Stationary,Deployed Airbags,Key Available,Black,Black,"3.6L V-6 DI, DOHC, VVT, 281HP",Gasoline,6 Cyl,1GKKVPKD9FJ101046,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,United States,NO,A,1,"M  ",30,Insurance,"$13,482 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38638539,2008,HONDA,CR-V,EX,,SALVAGE-DE,NO,Left Side,UNKNOWN,Collision,"Mon Mar 04, 12:52am CST",NO,SUVs,,"213,452 mi",,Run & Drive,Intact Airbags,Key Available,Gray,,"2.4L I-4 DOHC, VVT, 166HP",Gasoline,4 Cyl,JHLRE485X8C004084,United States,Automatic,,Four Wheel Drive,Sport Utility,Japan,NO,A,35,"K  ",22,Non-Insurance,$0 USD,East
"Mon Mar 04, 8:30am CST",New Castle,38700015,2005,HONDA,CR-V,EX,,SALVAGE-PA,NO,Right Rear,REAR,Collision,"Mon Mar 04, 12:54am CST",NO,SUVs,,"217,138 mi",Not Required/Exempt,Run & Drive,Deployed Airbags,Key Available,Black,Black,"2.4L I-4 DOHC, VVT, 160HP",Gasoline,4 Cyl,SHSRD78825U336300,United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Sport Utility,United Kingdom,NO,A,10,"A  ",7,Insurance,"$3,999 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38564628,2007,HONDA,FIT," ",$675 USD,SALVAGE-DE,NO,Right Side,UNKNOWN,Collision,"Mon Mar 04, 12:49am CST",NO,Automobiles,,"142,280 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Gray,"1.5L I-4 VVT, 109HP",Gasoline,4 Cyl,JHMGD38497S041316,United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Hatchback,Japan,NO,A,13,"A  ",7,Insurance,"$5,376 USD",East
"Mon Mar 04, 8:30am CST",New Castle,34447522,2018,HYUNDAI,ELANTRA GT,,,SALVAGE-DE,NO,Rear,LEFT REAR,Collision,"Mon Mar 04, 12:38am CST",NO,Automobiles,,"73,802 mi",Not Actual,Run & Drive,Intact Airbags,Key Available,Red,,"2L I-4  DI, DOHC, VVT,   161HP",Gasoline,4 Cyl,KMHH35LE6JU075631,United States,Automatic,Progressive Casualty Insurance,Front Wheel Drive,Hatchback 4 Dr.,South Korea,NO,A,28,"A  ",20,Insurance,"$16,705 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38333297,2013,HYUNDAI,SANTA FE,SPORT,,SALVAGE-DE,NO,Front End,LEFT SIDE,Collision,"Mon Mar 04, 12:44am CST",NO,SUVs,,"57,154 mi",,Run & Drive,Deployed Airbags,Key Available,Gray,Gray,"2.4L I-4 DI, DOHC, VVT, 190HP",Gasoline,4 Cyl,5XYZU3LB0DG039939,United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sport Utility,United States,NO,A,12,"A  ",53,Insurance,"$13,717 USD",East
"Mon Mar 04, 8:30am CST",New Castle,38682674,2011,HYUNDAI,SONATA,GLS,,SALVAGE-DE,NO,Rear,ROOF,Other,"Mon Mar 04, 12:53am CST",NO,Automobiles,,"162,880 mi",,Run & Drive,Intact Airbags,Key Available,Gold,Beige,"2.4L I-4 DI, DOHC, VVT, 190HP",Gasoline,4 Cyl,5NPEB4AC2BH287878,United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,15,"AA ",2,Insurance,"$7,655 USD",East
"Mon Mar 04, 8:30am CST",New Castle,29334156,2017,LINCOLN,MKZ,SELECT,,SALVAGE-DE,NO,Front End," ",Collision,"Mon Mar 04, 12:38am CST",NO,Automobiles,,"44,237 mi",Not Actual,Stationary,Deployed Airbags,Key Available,Gray,,"2L I-4  DI, DOHC, VVT, turbo  240HP",Gasoline,4 Cyl,3LN6L5D96HR641832,United States,Automatic,,All-Wheel Drive,Sedan 4 Dr.,Mexico,NO,A,29,"A  ",13,Non-Insurance,"$17,991 USD",East
"Mon Mar 04, 8:30am CST",New Castle,37696839,2023,MAZDA,CX-30,2.5 S SELECT,,SALVAGE-DE,NO,Front End,UNKNOWN,Collision,"Mon Mar 04, 12:40am CST",NO,SUVs,,"72,700 mi",Not Actual,Run & Drive,Deployed Airbags,Key Available,Black,Black,"2.5L I-4  DI, DOHC, VVT,     191HP",Gasoline,4 Cyl,3MVDMBBM5PM568526,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Wagon 4 Dr.,Mexico,NO,A,23,"A  ",28,Insurance,"$28,350 USD",East
