Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Tue Dec 09, 8:30am CST",Atlanta West,43601229,2018,CHEVROLET,EQUINOX,LT,"$2,200 USD",Salvage,YES,Front End,All Over,Collision,"Tue Dec 09, 1:13am CST",NO,SUVs,,"155,445 mi",,Run & Drive,Intact Airbags,Key Available,White,,"1.5L I-4 DI, DOHC, VVT, turbo, 170HP",Gasoline,4 Cyl,2GNAXJEV0J6290203,IAA United States,Automatic,Progressive Casualty Insurance,Front Wheel Drive,Sport Utility,Canada,NO,A,20,"E  ",2,Insurance,"$11,788 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43769006,2010,DODGE,DAKOTA,BIGHORN/LONESTAR,$75 USD,Clear,NO,Normal Wear & Tear,,,"Tue Dec 09, 1:23am CST",NO,Automobiles,,"194,999 mi",Not Required/Exempt,Stationary,Intact Airbags,Key Available,Black,,3.7L V-6 210HP,Gasoline,6 Cyl,1D7CE3GK6AS179096,IAA United States,Automatic,,4X2 Drive,Crew Cab,United States,NO,A,14,"E  ",26,Non-Insurance,"$3,175 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43536283,2006,DODGE,DURANGO,SXT,$25 USD,Salvage,YES,Right Front,,Collision,"Tue Dec 09, 1:10am CST",NO,SUVs,,"281,310 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Red,,4.7L V-8 230HP,Gasoline,8 Cyl,1D4HD38N56F193327,IAA United States,Automatic,Georgia Farm Bureau,4X2 Drive,Sport Utility,United States,NO,A,19,"E  ",10,Insurance,"$2,601 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43746953,2013,DODGE,GRAND CARAVAN,SXT,$25 USD,Clear,NO,Left Rear,,Other,"Tue Dec 09, 1:22am CST",NO,Vans,,"210,776 mi",,Stationary,Intact Airbags,Key Available,Blue,,"3.6L V-6 DOHC, VVT, 283HP",Flexible Fuel,6 Cyl,2C4RDGCGXDR685472,IAA United States,Automatic,,Front Wheel Drive,Passenger Van,Canada,NO,A,10,"E  ",28,Non-Insurance,"$2,825 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43832271,2006,DODGE,RAM 2500,SLT/TRX4 OFF ROAD/SPORT/POWER WAGON,$350 USD,Clear,NO,Rear,,Other,"Tue Dec 09, 1:25am CST",NO,Automobiles,,"230,497 mi",Not Required/Exempt,Stationary,Intact Airbags,Key Available,White,,"5.9L I-6 DI, turbo, 325HP",Diesel,6 Cyl,1D7KS28C46J148268,IAA United States,Automatic,,Four Wheel Drive,Crew Cab,United States,NO,A,13,"E  ",27,Non-Insurance,"$7,050 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43621277,2000,FORD,F-150,WORK SERIES/XL/XLT,$125 USD,Salvage,YES,Front End,All Over,Collision,"Tue Dec 09, 1:14am CST",NO,Automobiles,,1 mi,Inoperable Digital Dash,Stationary,Intact Airbags,,White,,4.2L V-6 205HP,Gasoline,6 Cyl,1FTZF1722YNA90043,IAA United States,Automatic,American Family Insurance,4X2 Drive,Regular Cab Styleside,United States,NO,A,23,"E  ",13,Insurance,"$3,001 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43215907,2014,HARLEY-DAVIDSON,FXDB,DYNA STREET BOB,$25 USD,Salvage,YES,All Over,,Collision,"Tue Dec 09, 1:02am CST",NO,Motorcycles,Cruiser,1 mi,Inoperable Digital Dash,Stationary,,,Black,Black,2,Other,2 Cyl,1HD1GXM1XEC328445,IAA United States,Unknown,Progressive Casualty Insurance,,Cruiser,United States,NO,A,9,"MC ",3,Insurance,"$10,185 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43286020,2015,HONDA,ODYSSEY,EX-L,$500 USD,Clear,NO,All Over,,Other,"Tue Dec 09, 1:03am CST",NO,Vans,,"207,374 mi",,Stationary,Intact Airbags,Key Available,Black,,"3.5L V-6 VVT, 248HP",Gasoline,6 Cyl,5FNRL5H66FB070908,IAA United States,Automatic,,Front Wheel Drive,Passenger Van,United States,NO,A,12,"E  ",30,Non-Insurance,"$8,050 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43816211,2010,HONDA,PILOT,TOURING,$525 USD,Clear,NO,All Over,,Other,"Tue Dec 09, 1:25am CST",NO,SUVs,,"251,615 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,White,,"3.5L V-6 VVT, 250HP",Gasoline,6 Cyl,5FNYF4H8XAB003039,IAA United States,Automatic,,Four Wheel Drive,Sport Utility,United States,NO,A,4,"E  ",27,Non-Insurance,"$3,950 USD",East
"Tue Dec 09, 8:30am CST",Atlanta West,43829623,2007,JEEP,COMPASS,SPORT,$325 USD,Clear,NO,Normal Wear & Tear,,,"Tue Dec 09, 1:25am CST",NO,SUVs,,"277,478 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Red,,"2.4L I-4 DOHC, VVT, 172HP",Gasoline,4 Cyl,1J8FT47W47D190318,IAA United States,Automatic,,Front Wheel Drive,Sport Utility,United States,NO,A,1,"E  ",14,Non-Insurance,$525 USD,East
