Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Country,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Wed Jul 10, 10:30am CDT",Casper,39618168,2017,AUDI,Q3,2.0T PREMIUM,,SALVAGE-WY,NO,Front End,LEFT FRONT,Collision,"Tue Jul 09, 1:16am CDT",NO,SUVs,,"84,132 mi",,Run & Drive,Intact Airbags,Key Available,White,,"2.0L I-4 DI, DOHC, VVT, turbo, 200HP",Gasoline,4 Cyl,WA1JCCFS6HR000365,United States,Automatic,,All-Wheel Drive,Sport Utility,Germany,NO,,TBD,"SP ",3,Insurance,"$16,522 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39331289,2011,BUICK,ENCLAVE,1XL,,SALVAGE TITLE-TX,NO,Electrical,UNKNOWN,Other,"Mon Jul 08, 12:37am CDT",NO,SUVs,,"144,499 mi",Not Required/Exempt,Stationary,Intact Airbags,Key Available,Cream,Beige,"3.6L V-6 DI, DOHC, VVT, 288HP",Gasoline,6 Cyl,5GAKVBEDXBJ410658,United States,Automatic,,All-Wheel Drive,Sport Utility,United States,NO,A,2,"SP ",3,Non-Insurance,"$3,675 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39514640,2001,BUICK,LESABRE,CUSTOM,,CLEAR-WY,NO,Normal Wear & Tear," ",,"Mon Jul 08, 12:41am CDT",NO,Automobiles,,"245,278 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Silver,Gray,3.8L V-6 205HP,Gasoline,6 Cyl,1G4HP54K014160991,United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,5,"SP ",1,Non-Insurance,$650 USD,West
"Wed Jul 10, 10:30am CDT",Casper,39523300,2002,CHEVROLET,IMPALA," ",,CLEAR-WY,NO,Normal Wear & Tear," ",,"Mon Jul 08, 12:41am CDT",NO,Automobiles,,"125,811 mi",,Run & Drive,Intact Airbags,Key Available,Beige,Beige,3.4L V-6 180HP,Gasoline,6 Cyl,2G1WF52E929181079,United States,Automatic,,Front Wheel Drive,Sedan,Canada,NO,A,6,"SP ",1,Non-Insurance,$600 USD,West
"Wed Jul 10, 10:30am CDT",Casper,37992507,2007,DODGE,RAM 3500,SLT,$25 USD,CLEAR-WY,NO,Right Side,RIGHT REAR,Collision,"Tue Jul 09, 1am CDT",NO,Heavy Duty Trucks,,"249,349 mi",," ",,Key Available,Silver,,,Diesel,6 Cyl,3D7MX49C47G739501,United States,,USAA Guidewire,Four Wheel Drive,Crew Pickup,Mexico,NO,,TBD,"SP ",4,Insurance,"$16,782 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39711688,1991,FORD,BRONCO,U100,$25 USD,CLEAR-WY,NO,Front End,UNKNOWN,Other,"Tue Jul 09, 1:21am CDT",NO,Classics,,"45,959 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Blue,5.8L V8 FI  F,Gasoline,8 Cyl,1FMEU15H5MLA72407,United States,Automatic,,Four Wheel Drive,Suv 2 Door,United States,NO,A,1,"SP ",3,Non-Insurance,"$3,000 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39554891,2008,FORD,E-350 SUPER DUTY,XL/XLT,$25 USD,CLEAR-WY,NO,Right Side,UNKNOWN,Collision,"Tue Jul 09, 1:13am CDT",NO,Vans,,"171,328 mi",,Stationary,Intact Airbags,Key Available,White,,5.4L V-8 255HP,Gasoline,8 Cyl,1FBNE31L28DB09568,United States,Automatic,,Rear Wheel Drive,Wagon,United States,NO,,TBD,"SP ",4,Insurance,"$10,273 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39607782,2007,FORD,EDGE,SEL,,CLEAR-WY,NO,Left Front,RIGHT FRONT,Other,"Mon Jul 08, 12:44am CDT",NO,SUVs,,"215,747 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Cream,Beige,"3.5L V-6 DOHC, VVT, 265HP",Gasoline,6 Cyl,2FMDK48C97BB63039,United States,Automatic,,All-Wheel Drive,Sport Utility,Canada,NO,A,3,"SP ",3,Non-Insurance,"$2,275 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39627919,2005,FORD,F-150,FX4/LARIAT/XL/XLT,,CLEAR-WY,NO,Normal Wear & Tear," ",,"Mon Jul 08, 12:45am CDT",NO,Automobiles,,1 mi,Not Required/Exempt,Stationary,Intact Airbags,Key Available,White,Gray,"5.4L V-8 VVT, 300HP",Gasoline,8 Cyl,1FTPX14575NB17218,United States,Automatic,,Four Wheel Drive,Extended Cab,United States,NO,A,4,"SP ",4,Non-Insurance,"$3,125 USD",West
"Wed Jul 10, 10:30am CDT",Casper,38583125,2005,FORD,F-150,FX4/LARIAT/XLT,,SALVAGE TITLE-TX,NO,Electrical,UNKNOWN,Other,"Mon Jul 08, 12:33am CDT",NO,Automobiles,,"206,665 mi",Not Required/Exempt,Starts,Intact Airbags,Key Available,Blue,Beige,"5.4L V-8 VVT, 300HP",Gasoline,8 Cyl,1FTPW14555KC39824,United States,Automatic,,Four Wheel Drive,Crew Cab,United States,NO,A,7,"SP ",4,Non-Insurance,"$3,900 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39585398,2019,FORD,F-350 CHASSIS,XL,,CLEAR-WY,NO,Rear,FRONT END,Other,"Tue Jul 09, 1:14am CDT",NO,Heavy Duty Trucks,,"186,379 mi",Not Actual,Run & Drive,,Key Available,,,,Gasoline,8 Cyl,1FD8W3F62KEC09921,United States,,Wheels Inc,Four Wheel Drive,Crew Cab,United States,NO,,TBD,"SP ",4,Non-Insurance,"$37,900 USD",West
"Wed Jul 10, 10:30am CDT",Casper,39390915,2000,FORD,RANGER,XL/XLT,,CLEAR-WY,NO,Left Front,RIGHT FRONT,Collision,"Tue Jul 09, 1:07am CDT",NO,Automobiles,,"145,435 mi",,Stationary,Deployed Airbags,Key Available,Red,,3.0L V-6 145HP,Flexible Fuel,6 Cyl,1FTZR15V5YTB35654,United States,Manual,,Four Wheel Drive,Extended Cab,United States,NO,,TBD,"SP ",4,Insurance,"$6,326 USD",West
