Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Fri Oct 31, 8:30am CDT",Fort Wayne,43265037,2006,BMW,330I," ",,Salvage,YES,Front End,Undercarriage,Collision,"Fri Oct 31, 1:10am CDT",NO,Automobiles,,,Not Required/Exempt,Stationary,Intact Airbags,Key Available,Gray,,"3.0L I-6 DOHC, VVT, 255HP",Gasoline,6 Cyl,WBAVB33536KR76728,IAA United States,Automatic,Tennessee Farmers Insurance,Rear Wheel Drive,Sedan,Germany,NO,B,28,"V  ",5,Insurance,"$6,150 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43512127,2007,BMW,335I," ",$625 USD,Clear,YES,Left Side,None,Other,"Fri Oct 31, 1:22am CDT",NO,Automobiles,,,Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Gray,,"3.0L I-6 DI, DOHC, VVT, turbo, 300HP",Gasoline,6 Cyl,WBAVB73507VF52501,IAA United States,Automatic,"Nationwide Remarketing ",Rear Wheel Drive,Sedan,Germany,NO,A,132,"M  ",47,Non-Insurance,"$2,450 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43178397,2021,BUICK,ENVISION,AWD AVENIR,"$4,450 USD",Salvage,YES,Left Side,Left Front,Collision,"Fri Oct 31, 1:08am CDT",NO,SUVs,,"59,167 mi",,Run & Drive,Deployed Airbags,Key Available,Gray,Black,"2.0L I-4 DI, DOHC, VVT, turbo, 228HP",Gasoline,4 Cyl,LRBFZSR47MD085336,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,China,NO,A,16,"N  ",15,Insurance,"$24,334 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43381606,2006,BUICK,RENDEZVOUS,CX,,Clear,YES,Left Front,None,Collision,"Fri Oct 31, 1:15am CDT",NO,SUVs,,,Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Cream,,3.5L V-6 195HP,Gasoline,6 Cyl,3G5DA03L76S660145,IAA United States,Automatic,Progressive Casualty Insurance,Front Wheel Drive,Utility,Mexico,NO,A,39,"WX ",20,Insurance,"$2,492 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43064783,1985,CADILLAC,ELDORADO," ",,Salvage,YES,Interior Burn,Exterior Burn,Fire,"Fri Oct 31, 1:05am CDT",NO,Automobiles,,"65,000 mi",Exceeds Mechanical Limits,Stationary,Deployed Airbags,Key Available,Black,Black,4.1L V8 FI OHV F,Gasoline,8 Cyl,1G6EL5789FE668898,IAA United States,Unknown,State Farm Group Insurance,Front Wheel Drive,Coupe 2 Door,United States,NO,A,28,BRN,1,Insurance,"$10,021 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43365583,2013,CADILLAC,SRX,PREMIUM COLLECTION,,Clear,YES,Front End,Left Rear,Other,"Fri Oct 31, 1:15am CDT",NO,SUVs,,"221,650 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"3.6L V-6 DI, DOHC, VVT, 308HP",Gasoline,6 Cyl,3GYFNJE31DS563457,IAA United States,Automatic,Progressive Casualty Insurance,All-Wheel Drive,Utility,Mexico,NO,A,107,"WX ",24,Insurance,"$6,997 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43384625,2021,CADILLAC,XT6,FWD PREMIUM LUXURY,"$6,400 USD",Salvage,YES,Rear,Right Rear,Collision,"Fri Oct 31, 1:16am CDT",NO,SUVs,,"46,984 mi",,Run & Drive,Deployed Airbags,Key Available,Black,Black,"3.6L V-6 DI, DOHC, VVT, 310HP",Gasoline,6 Cyl,1GYKPCRS8MZ181208,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sport Utility,United States,NO,A,62,"N  ",17,Insurance,"$30,217 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43279336,2005,CHEVROLET,COLORADO,LS,$25 USD,Clear,YES,Left Front,Suspension,Collision,"Fri Oct 31, 1:11am CDT",NO,Automobiles,,,Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,White,,"3.5L I-5 DOHC, VVT, 220HP",Gasoline,5 Cyl,1GCCS196158197452,IAA United States,Automatic,Progressive Casualty Insurance,4X2 Drive,Extended Cab,United States,NO,A,36,"V  ",100,Insurance,"$3,974 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,42098612,2017,CHEVROLET,CRUZE,LT AUTO,,Salvage,YES,Left Side,Left Front,Collision,"Fri Oct 31, 1:02am CDT",NO,Automobiles,,"106,043 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"1.4L I-4 DI, DOHC, VVT, turbo, 153HP",Gasoline,4 Cyl,1G1BE5SM2H7191441,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,56,"N  ",6,Insurance,"$9,293 USD",East
"Fri Oct 31, 8:30am CDT",Fort Wayne,43424805,2016,CHEVROLET,CRUZE,LT AUTO,$400 USD,Clear,YES,Left Side,Right Rear,Collision,"Fri Oct 31, 1:18am CDT",NO,Automobiles,,"106,622 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"1.4L I-4 DI, DOHC, VVT, turbo, 153HP",Gasoline,4 Cyl,1G1BE5SM0G7320792,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,121,"N  ",28,Insurance,"$8,197 USD",East
