Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Country,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Wed Oct 09, 9:30am CDT",Bowling Green,40097112,2008,CHEVROLET,COBALT,LT,$25 USD,ORIGINAL-KY,YES,All Over,UNKNOWN,Other,"Tue Oct 08, 1:21am CDT",NO,Automobiles,,"215,458 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"2.2L I-4 DOHC, 148HP",Gasoline,4 Cyl,1G1AL58F087348605,United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,,TBD,"B  ",17,Non-Insurance,"$1,525 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40487365,2008,CHEVROLET,EXPRESS,YF7 UPFITTER,$25 USD,ORIGINAL-KY,YES,All Over," ",Other,"Tue Oct 08, 1:43am CDT",NO,Vans,,"300,255 mi",,Run & Drive,Intact Airbags,Key Available,White,,5.3L V-8 301HP,Flexible Fuel,8 Cyl,1GBFG154281190241,United States,Automatic,,Rear Wheel Drive,Cargo Van,United States,NO,,TBD,"B  ",22,Non-Insurance,"$3,400 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40206157,2006,CHRYSLER,PT CRUISER," ",$100 USD,ORIGINAL-KY,YES,All Over,UNKNOWN,Other,"Tue Oct 08, 1:26am CDT",NO,Automobiles,,"141,138 mi",,Run & Drive,Intact Airbags,Key Available,Blue,Gray,"2.4L I-4 DOHC, 150HP",Gasoline,4 Cyl,3C3JY45X86T246546,United States,Automatic,,Front Wheel Drive,Convertible,Mexico,NO,A,1,"B  ",8,Non-Insurance,"$1,200 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40287569,2014,DODGE,CHARGER,POLICE,,SALVAGE-KY,YES,Front End,LEFT & RIGHT SIDE,Collision,"Thu Oct 03, 1:35am CDT",NO,Automobiles,,"97,890 mi",,Stationary,Deployed Airbags,Key Available,White,,5.7L V-8 370HP,Gasoline,8 Cyl,2C3CDXAT7EH362076,United States,Automatic,,Rear Wheel Drive,Sedan,Canada,NO,,TBD,"D  ",18,Insurance,"$11,897 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40304441,2008,DODGE,CHARGER," ",,ORIGINAL-KY,YES,All Over," ",Other,"Thu Oct 03, 1:35am CDT",NO,Automobiles,,"172,995 mi",,Stationary,Intact Airbags,Key Available,Red,,3.5L V-6 250HP,Gasoline,6 Cyl,2B3KA43G18H317042,United States,Automatic,CarBrain LLC - ACH,Rear Wheel Drive,Sedan,Canada,NO,,TBD,"B  ",17,Non-Insurance,"$2,150 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40451261,2012,DODGE,GRAND CARAVAN,R/T,$225 USD,CLEAR-TN,YES,All Over,UNKNOWN,Other,"Tue Oct 08, 1:41am CDT",NO,Vans,,"170,839 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"3.6L V-6 DOHC, VVT, 283HP",Flexible Fuel,6 Cyl,2C4RDGEG1CR115730,United States,Automatic,,Front Wheel Drive,Passenger Van,Canada,NO,A,5,"B  ",1,Non-Insurance,"$3,150 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,39277258,2005,DODGE,RAM 1500,ST,,SALVAGE-KY,YES,Front End,ALL OVER,Collision,"Thu Oct 03, 1:17am CDT",NO,Automobiles,,"315,542 mi",,Run & Drive,Intact Airbags,Key Available,Black,,4.7L V-8 235HP,Gasoline,8 Cyl,1D7HA18N95S325074,United States,Automatic,Canal Insurance,,Crew Cab,United States,NO,,TBD,"J  ",33,Insurance,"$2,755 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40225077,1996,DODGE,RAM 1500," ",,CLEAR-TN,YES,Repossession,ALL OVER,Other,"Mon Oct 07, 12:50am CDT",NO,Pick-up Trucks,,"390,610 mi",,Run & Drive,Intact Airbags,Key Available,White,,5.9L V8 FI OHV 16V F2,Gasoline,8 Cyl,3B7HC13Z0TG100884,United States,Automatic,TitleMax,Rear Wheel Drive,Pickup 2 Door,Mexico,NO,A,8,"C  ",5,Non-Insurance,"$1,300 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40318692,2014,FORD,F-450 CHASSIS,XL,$525 USD,ORIGINAL-KY,NO,Left Side,ALL OVER,Other,"Mon Oct 07, 12:54am CDT",NO,Heavy Duty Trucks,,"232,207 mi",,Run & Drive,,Key Available,,,,Gasoline,10 Cyl,1FDUF4GY3EEB70605,United States,,Element Fleet Management,,Standard Cab,United States,NO,,TBD,BCK,50,Non-Insurance,"$8,775 USD",Central
"Wed Oct 09, 9:30am CDT",Bowling Green,40355500,91,FORD,F150," ",,ORIGINAL-KY,YES,All Over,MECHANICAL,Other,"Mon Oct 07, 12:56am CDT",NO,Pick-up Trucks,,"11,157 mi",,Stationary,Intact Airbags,Key Available,Black,Black,4.9L I6 FI  F,Gasoline,6 Cyl,1FTDF15Y7MNA62654,United States,Manual,,Rear Wheel Drive,Pickup 2 Door,United States,NO,A,2,"C  ",19,Non-Insurance,$700 USD,Central
