Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Country,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Thu Apr 03, 8:30am CDT",Long Island,41837354,2011,ACURA,MDX," ",$25 USD,Salvage,NO,Right Side,FRONT END,Collision,"Wed Apr 02, 1:32am CDT",NO,SUVs,,"104,944 mi",,Run & Drive,Deployed Airbags,Key Available,Gray,Gray,"3.7L V-6 VVT, 300HP",Gasoline,6 Cyl,2HNYD2H27BH546229,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,Canada,NO,,TBD,"MV ",23,Insurance,"$8,144 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41668353,2023,AUDI,Q7,PREMIUM PLUS 55 TFSI QUATTRO TIPTRONIC,$25 USD,Salvage,NO,Front End,NONE,Collision,"Wed Apr 02, 1:22am CDT",NO,SUVs,,"31,005 mi",,Run & Drive,Intact Airbags,Key Available,White,Black,"3.0L V-6 DI, DOHC, VVT, turbo, 335HP",Gasoline,6 Cyl,WA1LXBF74PD001609,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Germany,NO,,TBD,"MS ",37,Insurance,"$42,448 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41645174,2020,BMW,X3,XDRIVE30I,"$1,050 USD",Salvage,NO,Front End," ",Collision,"Wed Apr 02, 1:20am CDT",NO,SUVs,,"34,304 mi",,Run & Drive,Intact Airbags,Key Available,White,Beige,"2.0L I-4 DI, DOHC, VVT, turbo, 248HP",Gasoline,4 Cyl,5UXTY5C04L9D07798,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,United States,NO,,TBD,"MR ",20,Insurance,"$25,251 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41235512,2023,BMW,X7,XDRIVE40I,"$14,800 USD",Salvage,NO,Front & Rear," ",Collision,"Wed Apr 02, 1:08am CDT",NO,SUVs,,"35,661 mi",,Stationary,Deployed Airbags,Key Available,White,Black,"3.0L I-6 DI, DOHC, VVT, turbo, 375HP",Gasoline,6 Cyl,5UX23EM04P9P96036,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,United States,NO,,TBD,"MY ",8,Insurance,"$61,473 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41505630,2023,CADILLAC,XT4,AWD LUXURY,$525 USD,Salvage,NO,Front End," ",Collision,"Wed Apr 02, 1:14am CDT",NO,SUVs,,"4,757 mi",,Run & Drive,Deployed Airbags,Key Available,Champagne,Tan,"2.0L I-4 DI, DOHC, VVT, turbo, 235HP",Gasoline,4 Cyl,1GYFZBR48PF174059,United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,United States,NO,,TBD,"MR ",7,Insurance,"$31,397 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41683980,2010,CHEVROLET,COBALT,LT,,Salvage,NO,Front End,LEFT FRONT,Collision,"Wed Apr 02, 1:23am CDT",NO,Automobiles,,"96,277 mi",,Run & Drive,Deployed Airbags,Key Available,Blue,Gray,"2.2L I-4 DOHC, VVT, 155HP",Gasoline,4 Cyl,1G1AD1F56A7149547,United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Coupe,United States,NO,,TBD,"MW ",8,Insurance,"$5,311 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41464627,2022,CHEVROLET,COLORADO,4WD  LONG BOX Z71,$25 USD,Salvage,NO,Front End," ",Collision,"Wed Apr 02, 1:13am CDT",NO,Automobiles,,"49,044 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"3.6L V-6 DI, DOHC, VVT, 308HP",Gasoline,6 Cyl,1GCGTDEN5N1321776,United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Crew Cab,United States,NO,,TBD,"MV ",6,Insurance,"$30,625 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41304398,2014,CHEVROLET,EQUINOX,1LT,$25 USD,Salvage,NO,Left Side,REAR,Collision,"Wed Apr 02, 1:09am CDT",NO,SUVs,,"48,095 mi",,Run & Drive,Intact Airbags,Key Available,Red,Black,"2.4L I-4 DI, DOHC, VVT, 182HP",Flexible Fuel,4 Cyl,2GNALBEK8E6381328,United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Utility,Canada,NO,,TBD,"MV ",36,Insurance,"$11,717 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41694908,2011,CHEVROLET,MALIBU,LS,,Salvage,NO,Rear,FRONT END,Collision,"Wed Apr 02, 1:23am CDT",NO,Automobiles,,"170,911 mi",,Run & Drive,Intact Airbags,Key Available,Dark Blue,Gray,"2.4L I-4 DOHC, VVT, 169HP",Gasoline,4 Cyl,1G1ZB5E16BF146685,United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,,TBD,"MR ",22,Insurance,"$1,757 USD",East
"Thu Apr 03, 8:30am CDT",Long Island,41877514,2014,CHEVROLET,TAHOE,LTZ,$25 USD,Salvage,NO,Left Side,RIGHT REAR,Collision,"Wed Apr 02, 1:34am CDT",NO,SUVs,,"136,532 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"5.3L V-8 VVT, 320HP",Flexible Fuel,8 Cyl,1GNSKCE05ER103051,United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Utility,United States,NO,,TBD,"MV ",3,Insurance,"$13,699 USD",East
