Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Fri Oct 10, 10:30am CDT",Boise,43314173,2018,AUDI,S5,3.0T PREMIUM PLUS,"$10,300 USD",Salvage,YES,Right Rear,,Collision,"Fri Oct 10, 1:19am CDT",NO,Automobiles,,"35,695 mi",,Run & Drive,Intact Airbags,Key Available,Gray,,"3.0L V-6 DI, DOHC, VVT, turbo, 354HP",Gasoline,6 Cyl,WAUC4CF55JA101887,IAA United States,Automatic,Geico Insurance,All-Wheel Drive,Hatchback,Germany,NO,A,16,"G  ",4,Insurance,"$30,827 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43385916,1998,CADILLAC,DEVILLE,D'ELEGANCE,$125 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:22am CDT",NO,Automobiles,,"118,052 mi",,Run & Drive,Intact Airbags,Key Available,White,,"4.6L V-8 DOHC, 275HP",Gasoline,8 Cyl,1G6KE54Y8WU803408,IAA United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,69,"J  ",5,Non-Insurance,$500 USD,West
"Fri Oct 10, 10:30am CDT",Boise,43178354,2009,CADILLAC,DTS,1SD,$25 USD,Clear,NO,All Over,,Other,"Fri Oct 10, 1:12am CDT",NO,Automobiles,,1 mi,Inoperable Digital Dash,Stationary,Intact Airbags,Key Available,White,,"4.6L V-8 DOHC, 275HP",Gasoline,8 Cyl,1G6KD57Y09U142850,IAA United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,64,"J  ",11,Non-Insurance,"$1,700 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43290491,1995,CHEVROLET,S TRUCK,S10,$25 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:17am CDT",NO,Pick-up Trucks,,"178,673 mi",,Stationary,Intact Airbags,Key Available,Blue,,2.2L I4 FI OHV 8V F2,Gasoline,4 Cyl,1GCCS1443SK108260,IAA United States,Manual,,Rear Wheel Drive,Pickup 2 Door,United States,NO,A,55,"J  ",7,Non-Insurance,$500 USD,West
"Fri Oct 10, 10:30am CDT",Boise,43362709,2014,CHEVROLET,SONIC,LT AUTO,$25 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:21am CDT",NO,Automobiles,,"164,771 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"1.8L I-4 DOHC, VVT, 138HP",Gasoline,4 Cyl,1G1JC6SH4E4101360,IAA United States,Automatic,,Front Wheel Drive,Hatchback,United States,NO,A,45,"J  ",1,Non-Insurance,"$1,700 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43085866,2007,CHEVROLET,SUBURBAN 1500,LT,$150 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:08am CDT",NO,SUVs,,"274,115 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Black,,5.3L V-8 310HP,Flexible Fuel,8 Cyl,3GNFK16347G271071,IAA United States,Automatic,,Four Wheel Drive,Utility,Mexico,NO,A,31,"H  ",10,Non-Insurance,"$3,175 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43071746,2012,CHRYSLER,200,LX,$25 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:07am CDT",NO,Automobiles,,"205,675 mi",,Run & Drive,Intact Airbags,Key Available,Gray,,"2.4L I-4 DOHC, VVT, 173HP",Gasoline,4 Cyl,1C3CCBAB3CN317508,IAA United States,Automatic,Select Remarketing Group,Front Wheel Drive,Sedan,United States,NO,A,33,"H  ",2,Non-Insurance,"$1,250 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43059197,2006,CHRYSLER,300,TOURING,$100 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:07am CDT",NO,Automobiles,,"184,980 mi",,Stationary,Intact Airbags,,Silver,,3.5L V-6 250HP,Gasoline,6 Cyl,2C3KA53G46H153386,IAA United States,Automatic,Select Remarketing Group,Rear Wheel Drive,Sedan,Canada,NO,A,30,"H  ",4,Non-Insurance,"$1,025 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43358431,1996,CHRYSLER,CONCORDE,LX/LXI,$25 USD,Clear,YES,Front End,,Other,"Fri Oct 10, 1:21am CDT",NO,Automobiles,,"122,135 mi",,Stationary,Deployed Airbags,Key Available,White,,3.5L V6 FI OHV 24V F4,Gasoline,6 Cyl,2C3HD56F4TH258025,IAA United States,Automatic,,Front Wheel Drive,Sedan 4 Door,Canada,NO,A,71,"J  ",4,Non-Insurance,$500 USD,West
"Fri Oct 10, 10:30am CDT",Boise,43358158,2011,DODGE,CHALLENGER,R/T,"$3,800 USD",Clear,YES,All Over,,Other,"Fri Oct 10, 1:21am CDT",NO,Automobiles,,"151,243 mi",,Run & Drive,Intact Airbags,Key Available,Green,,"5.7L V-8 VVT, 372HP",Gasoline,8 Cyl,2B3CJ5DT5BH613257,IAA United States,Automatic,,Rear Wheel Drive,Coupe,Canada,NO,A,20,"H  ",1,Non-Insurance,$0 USD,West
"Fri Oct 10, 10:30am CDT",Boise,43431325,2016,DODGE,GRAND CARAVAN,SE,$25 USD,Clear,YES,Front End,,Other,"Fri Oct 10, 1:23am CDT",NO,Vans,,"53,768 mi",,Run & Drive,Intact Airbags,Key Available,Blue,,"3.6L V-6 DOHC, VVT, 283HP",Flexible Fuel,6 Cyl,2C4RDGBG0GR122288,IAA United States,Automatic,,Front Wheel Drive,Passenger Van,Canada,NO,A,21,"RE ",6,Non-Insurance,$0 USD,West
"Fri Oct 10, 10:30am CDT",Boise,43358700,2012,DODGE,GRAND CARAVAN,SXT,$625 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:21am CDT",NO,Vans,,"111,383 mi",,Run & Drive,Intact Airbags,Key Available,Silver,,"3.6L V-6 DOHC, VVT, 283HP",Flexible Fuel,6 Cyl,2C4RDGCG7CR333254,IAA United States,Automatic,,Front Wheel Drive,Passenger Van,Canada,NO,A,76,"H  ",7,Non-Insurance,"$2,575 USD",West
"Fri Oct 10, 10:30am CDT",Boise,43337683,2011,DODGE,GRAND CARAVAN,EXPRESS,$150 USD,Clear,YES,All Over,,Other,"Fri Oct 10, 1:20am CDT",NO,Vans,,"160,210 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"3.6L V-6 DOHC, VVT, 283HP",Flexible Fuel,6 Cyl,2D4RN4DG0BR765227,IAA United States,Automatic,Charitable Adult Rides & Services,Front Wheel Drive,Passenger Van,Canada,NO,A,73,"J  ",9,Non-Insurance,"$1,900 USD",West
