Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42528358,2016,ACURA,ILX,PREMIUM   A-SPEC PACKAGES/TECHNOLOGY PLUS   A-SPEC PACKAGES,"$1,450 USD",Salvage,YES,Hail,FRONT END,Other,"Wed Sep 03, 8:05am CEDT / CEST",NO,Automobiles,,"140,327 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"2.4L I-4 DI, DOHC, VVT, 201HP",Gasoline,4 Cyl,19UDE2F84GA011911,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,67,SAA,2,Insurance,"$6,408 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42761815,2017,ALFA ROMEO,GIULIA,RWD,"$1,050 USD",Salvage,YES,Hail," ",Other,"Wed Sep 03, 8:11am CEDT / CEST",NO,Automobiles,,"87,522 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"2.0L I-4 DI, VVT, turbo, 280HP",Gasoline,4 Cyl,ZARFAEBN1H7545694,IAA United States,Automatic,State Farm Group Insurance,Rear Wheel Drive,Sedan,Italy,NO,A,80,SAA,1,Insurance,"$12,203 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,43023866,1999,BMW,328IC," ",,Clear,NO,Normal Wear & Tear," ",,"Sun Aug 31, 7:55am CEDT / CEST",NO,Automobiles,,1 mi,Not Actual,Stationary,Intact Airbags,Key Available,Black,,"2.8L I-6 DOHC, VVT, 190HP",Gasoline,6 Cyl,WBABK833XXEY92985,IAA United States,Automatic,,Rear Wheel Drive,Convertible,Germany,NO,A,9,"E  ",15,Non-Insurance,$500 USD,East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42740093,2010,BMW,X3,XDRIVE30I,$475 USD,Salvage,YES,Front End,RIGHT REAR,Collision,"Wed Sep 03, 8:10am CEDT / CEST",NO,SUVs,,"100,975 mi",,Run & Drive,Intact Airbags,Key Available,White,Beige,"3.0L I-6 DOHC, VVT, 260HP",Gasoline,6 Cyl,WBXPC9C46AWJ37065,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Germany,NO,A,104,SAA,2,Insurance,"$6,268 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42693215,2004,BUICK,CENTURY," ",$125 USD,Salvage,YES,Right Side,FRONT END,Collision,"Wed Sep 03, 8:09am CEDT / CEST",NO,Automobiles,,"80,765 mi",,Run & Drive,Intact Airbags,Key Available,Teal,Gray,3.1L V-6 175HP,Gasoline,6 Cyl,2G4WS52J941179961,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Canada,NO,A,37,SAA,1,Insurance,"$2,921 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42092384,2019,BUICK,ENCORE,AWD PREFERRED,$25 USD,Salvage,YES,Right Front," ",Collision,"Wed Sep 03, 8:02am CEDT / CEST",NO,SUVs,,"82,556 mi",,Run & Drive,Deployed Airbags,Key Available,Gold,Black,"1.4L I-4 DOHC, VVT, turbo, 138HP",Gasoline,4 Cyl,KL4CJESBXKB718467,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,South Korea,NO,A,88,SAA,2,Insurance,"$12,953 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42065190,2013,BUICK,VERANO,LEATHER GROUP,$150 USD,Salvage,YES,Hail,RIGHT FRONT,Other,"Wed Sep 03, 8:02am CEDT / CEST",NO,Automobiles,,"120,730 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"2.4L I-4 DI, DOHC, VVT, 180HP",Flexible Fuel,4 Cyl,1G4PS5SK6D4124269,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,41,SAA,1,Insurance,"$6,643 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42695654,2009,CADILLAC,CTS,STANDARD,$325 USD,Salvage,YES,Flood,RIGHT FRONT,Water,"Wed Sep 03, 8:09am CEDT / CEST",NO,Automobiles,,"89,254 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"3.6L V-6 DI, DOHC, VVT, 304HP",Gasoline,6 Cyl,1G6DT57V690140397,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sedan,United States,NO,A,17,SAA,1,Insurance,"$9,160 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42847885,2008,CADILLAC,DTS,1SB,$125 USD,Salvage,YES,Hail," ",Other,"Wed Sep 03, 8:15am CEDT / CEST",NO,Automobiles,,"92,283 mi",,Run & Drive,Intact Airbags,Key Available,Black,Tan,"4.6L V-8 DOHC, 275HP",Gasoline,8 Cyl,1G6KD57Y38U132280,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,19,SAA,1,Insurance,"$6,288 USD",East
"Wed Sep 03, 3:30pm CEDT / CEST",Shady Spring,42727836,2017,CADILLAC,XT5,PREMIUM LUXURY,"$1,850 USD",Salvage,YES,Hail,LEFT FRONT,Other,"Wed Sep 03, 8:10am CEDT / CEST",NO,SUVs,,"142,821 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"3.6L V-6 DI, DOHC, VVT, 310HP",Gasoline,6 Cyl,1GYKNERSXHZ285710,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,United States,NO,A,53,SAA,1,Insurance,"$10,532 USD",East
