Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42903342,1999,BMW,323IC," ",$25 USD,Clear,YES,Hail,RIGHT FRONT,Other,"Wed Sep 03, 8:18am CEDT / CEST",NO,Automobiles,,"129,694 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"2.5L I-6 VVT, 168HP",Gasoline,6 Cyl,WBABJ8334XEM24804,IAA United States,Automatic,,Rear Wheel Drive,Convertible,Germany,NO,A,4,"B  ",1,Non-Insurance,$500 USD,West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42281068,2008,BUICK,ENCLAVE,CXL,$175 USD,Clear,YES,Left & Right Side,MECHANICAL,Other,"Wed Sep 03, 8:03am CEDT / CEST",NO,SUVs,,"190,826 mi",,Run & Drive,Intact Airbags,Key Available,Blue,,"3.6L V-6 DOHC, VVT, 275HP",Gasoline,6 Cyl,5GAER23748J283378,IAA United States,Automatic,,Front Wheel Drive,Utility,United States,NO,A,26,"C  ",14,Non-Insurance,"$1,750 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,41810345,2020,CAN-AM,DEFENDER MAX,HD8/DPS HD8,,Salvage,YES,Total Burn," ",Other,"Wed Sep 03, 8:01am CEDT / CEST",NO,Motorcycles,Side By Side,1 mi,Inoperable Digital Dash,Stationary,,,Black,,2,Gasoline,2 Cyl,3JBUBAN42LK001731,IAA United States,Automatic,Erie Insurance Group,,Side By Side,Mexico,NO,A,34,BRN,1,Insurance,"$11,512 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42285543,2015,CHEVROLET,CAMARO,2LT,"$2,050 USD",Salvage,YES,Hail," ",Other,"Wed Sep 03, 8:03am CEDT / CEST",NO,Automobiles,,"95,586 mi",,Run & Drive,Intact Airbags,Key Available,White,,"3.6L V-6 DI, DOHC, VVT, 323HP",Gasoline,6 Cyl,2G1FF1E30F9281855,IAA United States,Automatic,Erie Insurance Group,Rear Wheel Drive,Coupe,Canada,NO,A,28,"C  ",4,Insurance,"$14,119 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42374699,2011,CHEVROLET,CRUZE,LS,,Salvage,YES,Engine Damage,HAIL,Other,"Wed Sep 03, 8:03am CEDT / CEST",NO,Automobiles,,"210,408 mi",,Stationary,Intact Airbags,Key Available,Black,,"1.8L I-4 DOHC, VVT, 136HP",Gasoline,4 Cyl,1G1PC5SH5B7110843,IAA United States,Automatic,Erie Insurance Group,Front Wheel Drive,Sedan,United States,NO,A,36,"C  ",6,Insurance,"$1,972 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42900814,2016,CHEVROLET,EXPRESS 2500,WORK VAN,$150 USD,Clear,NO,Roof," ",Other,"Wed Sep 03, 8:18am CEDT / CEST",NO,"Vans,Fleet Vehicles",,"153,920 mi",,Run & Drive,Intact Airbags,Key Available,White,,"6.0L V-8 VVT, 342HP",Flexible Fuel,8 Cyl,1GCWGBFG6G1155498,IAA United States,Automatic,Element Fleet Management,Rear Wheel Drive,Extended Cargo Van,United States,NO,A,45,"C  ",42,Non-Insurance,"$9,800 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,41644967,2018,CHEVROLET,EXPRESS 3500,LT,,Clear,YES,Strip,THEFT,Theft,"Wed Sep 03, 8:01am CEDT / CEST",NO,Vans,,1 mi,Inoperable Digital Dash,Stationary,Intact Airbags,Key Available,Silver,,"6.0L V-8 VVT, 341HP",Flexible Fuel,8 Cyl,1GAZGPFG1J1335403,IAA United States,Automatic,,Rear Wheel Drive,Extended Passenger Van,United States,NO,A,33,"C  ",28,Non-Insurance,"$17,750 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42701745,2004,CHEVROLET,MALIBU," ",,Bill Of Sale,YES,Front End," ",Other,"Wed Sep 03, 8:09am CEDT / CEST",NO,Automobiles,,1 mi,Inoperable Digital Dash,Stationary,Intact Airbags,Key Available,White,,"2.2L I-4 DOHC, 145HP",Gasoline,4 Cyl,1G1ZS52F64F142669,IAA United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,9,"B  ",19,Non-Insurance,$625 USD,West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42841523,2023,CHEVROLET,SILVERADO 1500,4WD  STANDARD BED LT,"$8,000 USD",Salvage,YES,Left Side," ",Collision,"Wed Sep 03, 8:15am CEDT / CEST",NO,Automobiles,,"59,955 mi",,Run & Drive,Intact Airbags,Key Available,White,,"2.7L I-4 DI, DOHC, VVT, turbo, 310HP",Gasoline,4 Cyl,3GCPDDEK8PG266165,IAA United States,Automatic,Erie Insurance Group,Four Wheel Drive,Crew Cab,Mexico,NO,A,44,"J  ",6,Insurance,"$32,749 USD",West
"Wed Sep 03, 4:30pm CEDT / CEST",Bowling Green,42826034,2002,CHEVROLET,TRAILBLAZER,LTZ,$25 USD,Clear,YES,Right Front,RIGHT SIDE,Other,"Wed Sep 03, 8:14am CEDT / CEST",NO,SUVs,,1 mi,Inoperable Digital Dash,Stationary,Intact Airbags,Key Available,Black,,"4.2L I-6 DOHC, VVT, 270HP",Gasoline,6 Cyl,1GNDT13S622191899,IAA United States,Automatic,,Four Wheel Drive,Utility,United States,NO,A,31,"B  ",32,Non-Insurance,$500 USD,West
